identifier,lat,lon,name,state,country
KMFE,26.183,-98.25,MCALLEN         ,TX,US
KMFR,42.383,-122.867,MEDFORD         ,OR,US
KMGM,32.3,-86.4,MONTGOMERY      ,AL,US
KMHT,42.933,-71.433,MANCHESTER      ,NH,US
KMIA,25.8,-80.283,MIAMI           ,FL,US
KMKE,42.95,-87.9,MILWAUKEE       ,WI,US
KMKG,43.167,-86.233,MUSKEGON        ,MI,US
KMLB,28.1,-80.65,MELBOURNE       ,FL,US
KMLI,41.45,-90.517,MOLINE/QUAD CITY,IL,US
KMLS,46.433,-105.883,MILES CITY      ,MT,US
KMLU,32.517,-92.033,MONROE          ,LA,US
KMOB,30.683,-88.25,MOBILE/BATES    ,AL,US
KMOD,37.617,-120.95,MODESTO         ,CA,US
KMOT,48.25,-101.267,MINOT           ,ND,US
KMSN,43.133,-89.35,MADISON         ,WI,US
KMSO,46.917,-114.1,MISSOULA        ,MT,US
KMSP,44.883,-93.233,MINNEAPOLIS     ,MN,US
KMSY,30,-90.25,NEW ORLEANS/INTL,LA,US
KMWL,32.783,-98.067,MINERAL WELLS   ,TX,US
KNEW,30.05,-90.033,NEW ORLEANS/LAKE,LA,US
KNYC,40.783,-73.967,NYC/CENTRAL PARK,NY,US
KNYL,32.633,-114.617,YUMA MCAS,AZ,US
KOFK,41.983,-97.433,NORFOLK         ,NE,US
KOKC,35.383,-97.6,OKLAHOMA CITY   ,OK,US
KOMA,41.317,-95.9,OMAHA/EPPLEY    ,NE,US
KONT,34.05,-117.583,ONTARIO         ,CA,US
KORD,41.983,-87.933,CHICAGO O'HARE  ,IL,US
KORF,36.9,-76.2,NORFOLK         ,VA,US
KORH,42.267,-71.867,WORCESTER       ,MA,US
KOXR,34.2,-119.2,OXNARD          ,CA,US
KPAH,37.067,-88.767,PADUCAH         ,KY,US
KPBI,26.683,-80.1,WEST PALM BEACH ,FL,US
KPDT,45.7,-118.833,PENDLETON       ,OR,US
KPDX,45.583,-122.6,PORTLAND        ,OR,US
KPHL,39.867,-75.233,PHILADELPHIA    ,PA,US
KPHX,33.433,-112.017,PHOENIX/SKY HRBR,AZ,US
KPIA,40.667,-89.683,PEORIA          ,IL,US
KPIH,42.917,-112.567,POCATELLO       ,ID,US
KPIT,40.5,-80.267,PITTSBURGH      ,PA,US
KPKB,39.35,-81.417,PARKERSBURG     ,WV,US
KPNS,30.483,-87.183,PENSACOLA       ,FL,US
KPOU,41.633,-73.883,POUGHKEEPSIE    ,NY,US
KPRX,33.637,-95.451,Paris,TX,US
KPSP,33.817,-116.5,PALM SPRINGS    ,CA,US
KPUB,38.283,-104.5,PUEBLO,CO,US
